,t_org,t,s_out_mean,s_out_std
0,2444287.0,1980.0,1361.3615491726043,0.4321678142899717
1,2444288.0,1980.002737850787,1361.396038347804,0.4504453442459612
2,2444289.0,1980.0054757015744,1361.4304680358703,0.4546959134744927
3,2444290.0,1980.0082135523614,1361.4648734619639,0.44533904555248144
4,2444291.0,1980.0109514031485,1361.4992898264331,0.4214285352183039
5,2444292.0,1980.0136892539356,1361.5108373386126,0.43982426303585975
6,2444293.0,1980.0164271047229,1361.5224428150154,0.4392298943684389
7,2444294.0,1980.01916495551,1361.5341181292547,0.41956218226841047
8,2444295.0,1980.021902806297,1361.62439154337,0.44310342678704256
9,2444296.0,1980.024640657084,1361.7148390995208,0.45056271790922336
10,2444297.0,1980.0273785078714,1361.805553335014,0.44278443978604864
11,2444298.0,1980.0301163586585,1361.8966270599722,0.41888673242708724
12,2444299.0,1980.0328542094455,1361.918636055196,0.44296230510250967
13,2444300.0,1980.0355920602328,1361.94112023533,0.45119573130158414
14,2444301.0,1980.03832991102,1361.9641026040358,0.4445021746096979
15,2444302.0,1980.041067761807,1361.9876066746779,0.4221431601143251
16,2444303.0,1980.043805612594,1361.9529279260742,0.4405468865176668
17,2444304.0,1980.0465434633813,1361.9187594465425,0.44000607028405403
18,2444305.0,1980.0492813141684,1361.8850662781635,0.42044529519549867
19,2444306.0,1980.0520191649555,1361.8748926799278,0.4435350298024064
20,2444307.0,1980.0547570157426,1361.865149512558,0.450837860176019
21,2444308.0,1980.0574948665299,1361.8558268077752,0.4431651419542532
22,2444309.0,1980.060232717317,1361.8469150274802,0.4196628938113286
23,2444310.0,1980.062970568104,1361.864742479527,0.44343470571925964
24,2444311.0,1980.065708418891,1361.8829899777243,0.4512591940003394
25,2444312.0,1980.0684462696784,1361.901676191171,0.44401257485607776
26,2444313.0,1980.0711841204654,1361.9208202378115,0.4208856144785383
27,2444314.0,1980.0739219712525,1361.9350148381043,0.43920168817149574
28,2444315.0,1980.0766598220398,1361.9497013805124,0.4384565258539693
29,2444316.0,1980.0793976728269,1361.9648948909007,0.41854513480913286
30,2444317.0,1980.082135523614,1361.9471910545792,0.44257003868801653
31,2444318.0,1980.084873374401,1361.9299916179136,0.45088604916569425
32,2444319.0,1980.0876112251883,1361.9132789840814,0.44441018759353906
33,2444320.0,1980.0903490759754,1361.8970360543158,0.4224346843134182
34,2444321.0,1980.0930869267625,1361.9096587934885,0.44076534245836174
35,2444322.0,1980.0958247775495,1361.9227475328935,0.44036731554183334
36,2444323.0,1980.0985626283368,1361.9363156636787,0.4211858061782281
37,2444324.0,1980.101300479124,1361.9267311842573,0.4444872709049357
38,2444325.0,1980.104038329911,1361.9176301719065,0.45223934332076765
39,2444326.0,1980.1067761806983,1361.9090033153393,0.44528688275420714
40,2444327.0,1980.1095140314853,1361.9008417883826,0.4228750922339179
41,2444328.0,1980.1122518822724,1361.8279264342382,0.44517189141601
42,2444329.0,1980.1149897330595,1361.7553934595844,0.4521006456215217
43,2444330.0,1980.1177275838468,1361.6831686556052,0.4444094229598099
44,2444331.0,1980.1204654346338,1361.611178128794,0.4212647762907631
45,2444332.0,1980.123203285421,1361.411993021743,0.4397573922087752
46,2444333.0,1980.125941136208,1361.2127647508532,0.4398650288226518
47,2444334.0,1980.1286789869953,1361.0132894847764,0.4216022272773596
48,2444335.0,1980.1314168377824,1360.718235614632,0.4444787290499574
49,2444336.0,1980.1341546885694,1360.4224287943525,0.45161724024849875
50,2444337.0,1980.1368925393565,1360.1255663826582,0.44380738661969554
51,2444338.0,1980.1396303901438,1359.827344658269,0.42018247061226766
