,t_org,t,s_out_mean,s_out_std
0,2444287.0,1980.0,1361.702021006571,0.634929345985968
1,2444288.0,1980.002737850787,1361.7057987041612,0.6354582379571445
2,2444289.0,1980.0054757015744,1361.709579667817,0.6359018374424075
3,2444290.0,1980.0082135523614,1361.713363946616,0.6362603458503171
4,2444291.0,1980.0109514031485,1361.7171515896798,0.6365339255568598
5,2444292.0,1980.0136892539356,1361.720942646173,0.6367227002330306
6,2444293.0,1980.0164271047229,1361.724737165305,0.6368267550935548
7,2444294.0,1980.01916495551,1361.7285351963296,0.6368461370678287
8,2444295.0,1980.021902806297,1361.7323367885465,0.6367808548939682
9,2444296.0,1980.024640657084,1361.7361419913018,0.6366308791362595
10,2444297.0,1980.0273785078714,1361.7399508539886,0.6363961421262032
11,2444298.0,1980.0301163586585,1361.7437634260464,0.6360765378269749
12,2444299.0,1980.0328542094455,1361.747579756964,0.6356719216203246
13,2444300.0,1980.0355920602328,1361.7513998962788,0.635182110015226
14,2444301.0,1980.03832991102,1361.755223893577,0.6346068802769045
15,2444302.0,1980.041067761807,1361.7590517984956,0.6339459699738628
16,2444303.0,1980.043805612594,1361.762883660722,0.6331990764415207
17,2444304.0,1980.0465434633813,1361.7667195299955,0.6323658561591882
18,2444305.0,1980.0492813141684,1361.7705594561062,0.6314459240378376
19,2444306.0,1980.0520191649555,1361.7744034888976,0.6304388526142002
20,2444307.0,1980.0547570157426,1361.778251678267,0.6293441711482416
21,2444308.0,1980.0574948665299,1361.7821040741653,0.6281613646183437
22,2444309.0,1980.060232717317,1361.7680617108579,0.6293231241231256
23,2444310.0,1980.062970568104,1361.75402342181,0.6303730233325252
24,2444311.0,1980.065708418891,1361.7399890248,0.6313116747185892
25,2444312.0,1980.0684462696784,1361.7259583376556,0.6321396224867357
26,2444313.0,1980.0711841204654,1361.7119311782565,0.6328573440387819
27,2444314.0,1980.0739219712525,1361.697907364524,0.6334652512449745
28,2444315.0,1980.0766598220398,1361.6838867144236,0.6339636915315495
29,2444316.0,1980.0793976728269,1361.669869045965,0.634352948791777
30,2444317.0,1980.082135523614,1361.655854177193,0.6346332441262147
31,2444318.0,1980.084873374401,1361.6418419261904,0.6348047364161072
32,2444319.0,1980.0876112251883,1361.627832111072,0.6348675227341096
33,2444320.0,1980.0903490759754,1361.6138245499885,0.6348216385945735
34,2444321.0,1980.0930869267625,1361.5998190611156,0.6346670580450203
35,2444322.0,1980.0958247775495,1361.585815462658,0.6344036935993
36,2444323.0,1980.0985626283368,1361.571813572843,0.6340313960120402
37,2444324.0,1980.101300479124,1361.557813209924,0.6335499538932018
38,2444325.0,1980.104038329911,1361.5438141921704,0.6329590931598499
39,2444326.0,1980.1067761806983,1361.5298163378693,0.6322584763223544
40,2444327.0,1980.1095140314853,1361.5158194653263,0.6314477016004635
41,2444328.0,1980.1122518822724,1361.5018233928563,0.630526301863012
